lat;lon;status;closed;name;addr;town;county;postcode;prev;img;url;gsv
51.2231749451;-0.3324224403;gone;2012;Bush;10 Horsham Road;Dorking;Surrey;RH4 2JL ;;http://www.closedpubs.co.uk/surrey/pics/dorking_bush.jpg|https://whatpub.com/img/REI/85/bush-dorking/298/224/1;https://whatpub.com/pubs/REI/85/bush-dorking;
51.2179772389;-0.329072332;gone;2004;Windmill;Horsham Road;Dorking;Surrey;RH4 2LL ;;http://www.closedpubs.co.uk/surrey/pics/dorking_windmill.jpg|https://whatpub.com/img/REI/109/windmill-dorking/298/224/1;https://whatpub.com/pubs/REI/109/windmill-dorking;
51.2312393693;-0.3332322845;open;;Bull's Head;11 South Street;Dorking;Surrey;RH4 2DY ;;https://whatpub.com/img/REI/461/bulls-head-dorking/200/150;https://whatpub.com/pubs/REI/461/bulls-head-dorking;
51.2285936562;-0.3345485649;open;;Cricketers;81 South Street;Dorking;Surrey;RH4 2JU ;;https://whatpub.com/img/REI/87/cricketers-dorking/200/150;https://whatpub.com/pubs/REI/87/cricketers-dorking;
51.227292386;-0.3349798291;open;;Queen's Head;1 Horsham Road;Dorking;Surrey;RH4 2JS ;;https://whatpub.com/img/REI/101/queens-head-dorking/200/150;https://whatpub.com/pubs/REI/101/queens-head-dorking;
51.2325245966;-0.3291615303;open;;White Hart;5 Dene Street;Dorking;Surrey;RH4 2DR ;;https://whatpub.com/img/REI/106/white-hart-dorking/298/224/1;https://whatpub.com/pubs/REI/106/white-hart-dorking;
51.2320146847;-0.328787219;open;;Red Bar & Lounge;45 Dene Street;Dorking;Surrey;RH4 2DW ;Beehive|Jolly Butchers;http://www.closedpubs.co.uk/surrey/pics/dorking_beehive.JPG|https://whatpub.com/img/REI/81/red-bar-lounge-dorking/298/224/1;https://whatpub.com/pubs/REI/81/red-bar-lounge-dorking;
51.230963831;-0.3341571096;open;;Spotted Dog;42 South Street;Dorking;Surrey;RH4 2HQ ;;https://whatpub.com/img/REI/102/spotted-dog-dorking/200/150;https://whatpub.com/pubs/REI/102/spotted-dog-dorking;
51.2249600882;-0.3353500276;open;;Falkland Arms;60 Falkland Road;Dorking;Surrey;RH4 3AD ;;https://whatpub.com/img/REI/89/falkland-arms-dorking/200/150;https://whatpub.com/pubs/REI/89/falkland-arms-dorking;
51.2247118608;-0.334100768;open;;Prince of Wales;55 Hampstead Road;Dorking;Surrey;RH4 3AH ;;https://whatpub.com/img/REI/98/prince-of-wales-dorking/200/150;https://whatpub.com/pubs/REI/98/prince-of-wales-dorking;
51.2257062594;-0.3637397303;open;;Prince of Wales;Guildford Road;Westcott;Surrey;RH4 3QE;;https://whatpub.com/img/REI/386/prince-of-wales-westcott/200/150;https://whatpub.com/pubs/REI/386/prince-of-wales-westcott;
51.2245346228;-0.368099661;dead;2007;Cricketers;7 Guildford Road;Westcott;Surrey;RH4 3NW;;https://whatpub.com/img/REI/384/cricketers-westcott/298/224/1;http://www.closedpubs.co.uk/surrey/westcott_cricketers.html|https://whatpub.com/pubs/REI/384/cricketers-westcott;
51.2255441638;-0.3627714528;dead;2011;Crown ;Guildford Road;Westcott;Surrey;RH4 3QG ;;https://whatpub.com/img/REI/385/bertram-bees-westcott/298/224/1;https://whatpub.com/pubs/REI/385/bertram-bees-westcott;
;;bone;;Bricklayer’s Arms ;Westcott Street ;Westcott;Surrey;;;http://www.closedpubs.co.uk/surrey/pics/westcott_bricklayersarms.jpg;http://www.closedpubs.co.uk/surrey/westcott_bricklayersarms.html;
;;bone;;Cabin ;St John’s Road ;Westcott;Surrey;;;;http://www.closedpubs.co.uk/surrey/westcott_cabin.html;
;;bone;;Uncle Tom’s Cabin ;Westcott Street ;Westcott;Surrey;;;;http://www.closedpubs.co.uk/surrey/westcott_uncletomscabin.html;
;;;;;;;;;;;;
51.2183558909;-0.3152062924;open;;Royal Oak;Chart Lane South ;Stonebridge ;Surrey;RH5 4DJ ;;https://whatpub.com/img/REI/363/royal-oak-stonebridge/200/150;https://whatpub.com/pubs/REI/363/royal-oak-stonebridge;
51.2073824974;-0.3113546027;gone;2009;Plough;Blackbrook Road ;Blackbrook;Surrey;RH5 4DS ;;https://whatpub.com/img/REI/20/plough-blackbrook/298/224/1;https://whatpub.com/pubs/REI/20/plough-blackbrook;
51.2023392863;-0.3292438415;bone;1960s;Norfolk Arms;Horsham Road;Mid Holmwood;Surrey;;;http://www.closedpubs.co.uk/surrey/pics/midholmwood_norfolkarms.JPG;http://www.closedpubs.co.uk/surrey/midholmwood_norfolkarms.html;
;;bone;1830s;Old Nag's Head;Horsham Road;Mid Holmwood;Surrey;;;http://www.closedpubs.co.uk/surrey/pics/midholmwood_oldnagshead.JPG;http://www.closedpubs.co.uk/surrey/midholmwood_oldnagshead.html;
51.1940784112;-0.3256469992;gone;;Holly & Laurel;Horsham Road;South Holmwood;Surrey;RH5 4NG ;;http://www.closedpubs.co.uk/surrey/pics/southholmwood_hollylaurel.JPG;http://www.closedpubs.co.uk/surrey/southholmwood_hollylaurel.html|https://whatpub.com/pubs/REI/360/holly-laurel-south-holmwood;
51.1800863221;-0.3174357642;gone;1991;White Hart;Old Horsham Road ;Beare Green;Surrey;RH5 4QY ;;;https://whatpub.com/pubs/REI/16/white-hart-beare-green;
51.1750369183;-0.315569979;open;;Duke's Head;Horsham Road;Beare Green;Surrey;RH5 4QP ;;https://whatpub.com/img/REI/15/dukes-head-beare-green/298/224/1;https://whatpub.com/pubs/REI/15/dukes-head-beare-green;
51.182695644;-0.3008419329;limbo;2015;Henfold Lakes;Henfold Lane;Beare Green;Surrey;RH5 4RW;;https://whatpub.com/img/REI/449/henfold-lakes-beare-green/298/224/1;https://whatpub.com/pubs/REI/449/henfold-lakes-beare-green;
51.1650432572;-0.2890414165;open;;Six Bells;Village Street ;Newdigate;Surrey;RH5 5DH ;;https://whatpub.com/img/REI/260/six-bells-newdigate/298/224/1000001;https://whatpub.com/pubs/REI/260/six-bells-newdigate;
51.1791546598;-0.2771902111;open;;Surrey Oaks;Parkgate Road, Parkgate;Newdigate;Surrey;RH5 5DZ;;https://whatpub.com/img/REI/261/surrey-oaks-newdigate/298/224/1;https://whatpub.com/pubs/REI/261/surrey-oaks-newdigate;
51.1535240317;-0.3201377419;open;;Crown;98 The Street;Capel;Surrey;RH5 5JY;;https://whatpub.com/img/REI/38/crown-capel/298/224/1;https://whatpub.com/pubs/REI/38/crown-capel;
51.1556320025;-0.3208243874;gone;1986;King's Head;The Street;Capel;Surrey;;;https://whatpub.com/img/REI/39/kings-head-capel/298/224/1;https://whatpub.com/pubs/REI/39/kings-head-capel;
;;bone;;Jolly Farmer ;177 The Street ;Capel;Surrey;;;;http://www.closedpubs.co.uk/surrey/capel_jollyfarmer.html;
51.1597534599;-0.3940916169;open;;Parrot Inn;Horsham Road;Forest Green;Surrey;RH5 5RZ;;https://whatpub.com/img/REI/177/parrot-inn-forest-green/298/224/1;https://whatpub.com/pubs/REI/177/parrot-inn-forest-green;
51.2529405986;-0.3245504205;open;;Stepping Stones;Westhumble Street ;Westhumble;Surrey;RH5 6BS ;;https://whatpub.com/img/REI/388/stepping-stones-westhumble/200/150;https://whatpub.com/pubs/REI/388/stepping-stones-westhumble;
51.2546467106;-0.3217926648;open;;Burford Bridge Hotel;Old London Road;Westhumble;Surrey;RH5 6BX;;https://whatpub.com/img/REI/387/mercure-burford-bridge-hotel-westhumble/298/224/1;https://whatpub.com/pubs/REI/387/mercure-burford-bridge-hotel-westhumble;
51.2677612854;-0.3241317444;open;;Running Horses;Old London Road ;Mickleham;Surrey;RH5 6DU ;;https://whatpub.com/img/KIN/7084/running-horses-mickleham/298/224/22130;https://whatpub.com/pubs/KIN/7084/running-horses-mickleham;
51.2714990615;-0.3193683001;open;;King William IV;4 Byttom Hill ;Mickleham;Surrey;RH5 6EL ;;https://whatpub.com/img/KIN/6997/king-william-iv-mickleham/200/150;https://whatpub.com/pubs/KIN/6997/king-william-iv-mickleham;
;;bone;1760s;Royal Oak ;;Mickleham;Surrey;;;http://www.closedpubs.co.uk/surrey/pics/mickleham_royaloak.jpg;http://www.closedpubs.co.uk/surrey/mickleham_royaloak.html;
51.184263148;-0.3539209175;open;;Plough Inn;Coldharbour Lane ;Coldharbough;Surrey;RH5 6HD ;;https://whatpub.com/img/REI/64/plough-inn-coldharbour/200/150;https://whatpub.com/pubs/REI/64/plough-inn-coldharbour;
