Geof's Birthday (January 2009)	
Can	Deadlock (Title Music)		Soundtracks		1970
Amina	Fjarskanistan		Animamina		2004
Bark Psychosis	The Loom		Hex		1994
Godspeed You Black Emperor!	Rockets Fall On Rocket Falls		Yanqui U.X.O.		2002
The Who	Love Reign O'Er Me		Quadrophenia		1973
Guillemots	Come Away with Me		Through the Windowpane		2006
David Bowie	Sunday	Tony Visconti Mix	Everyone Says 'Hi'	Maxi-Single	2002
Scott Walker	The Old Man's Back Again (Dedicated to the Neo-Stalinist Regime)		Scott 4		1969
The Zombies	A Rose for Emily		Odessey & Oracle		1968
Clogs	Kapsburger		Lantern		2006
Sigur Rós	Svefn-G-Englar		Ágætis Byrjun		1999
Airport One	Slow Patrol		Cold Summer		2007
Neil Ardley	Upstarts All		Harmony of the Spheres		1979
King Crimson	Frame By Frame		Discipline		1981
Man or Astroman	Many Pieces of Large Fuzzy Mammals Gathered Together at a Rave and Schmoozing with a Brick		Spectrum of Infinite Scale		2000
Syd Barrett	Terrapin		The Madcap Laughs		1970
Gomez	In Our Gun		In Our Gun		2002
Doves	The Cedar Room		Lost Souls		2000
Elbow	Grace Under Pressure		Cast of Thousands		2004
Sigur Rós	Takk...		Takk...		2005
Sigur Rós	Glósóli		Takk...		2005
Tortoise	Along the Banks of Rivers		Millions Now Living Will Never Die		1996
Björk	Come to Me		Debut		1993
The Beta Band	Human Being		Hot Shots II		2001
Magazine	The Light Pours Out of Me		Real Life		2005
The Stranglers	Skin Deep		Aural Sculpture		1984
The Psychedelic Furs	Pretty in Pink		Talk Talk Talk		1981
Guillemots	Through the Windowpane		Through the Windowpane		2006
Schneider TM vs KPT Michi Gan	The Light 3000		Rough Trade Shops: Electronic		2002
Amadou and Mariam	Sabali		Welcome to Mali		2008
Mouse On Mars	Doit		Idiology		2001
Grauzone	Eisbär		Eisbär	Single	1981
Public Image Ltd.	Careering		Metal Box		1979
Icehouse	Hey Little Girl	Infusion Mix	Meltdown		2002
Cut Copy	Out There On the Ice		In Ghost Colours		2008
M83	Graveyard Girl		Saturdays = Youth		2008
David Bowie	Hallo Spaceboy		1. Outside - The Nathan Adler Diaries: A Hyper Cycle		1995
Estelle	American Boy		Shine		2008
Hot Chip	Ready for the Floor		Made in the Dark		2008
Cut Copy	Hearts On Fire		In Ghost Colours		2008
Moby	New Dawn Fades		A Means to an End		1994
M83	Moon Child		Before the Dawn Heals Us		2005
Boards of Canada	Roygbiv		Music Has the Right to Children		1998
