Astronomy Night (May 2009)	
Richard Strauss	Introduction		Also Sprach Zarathustra		1896
The Fires of Ork	Talk to the Stars		The Fires of Ork		1993
dZihan & Kamien	Spacewater		Freaks & Icons		2000
Sven Van Hees	Jupiter's Quest		Svengali		1996
Thievery Corporation	The Cosmic Game		The Cosmic Game		2005
Air	Kelly, Watch the Stars!		Moon Safari		1998
Santana	Look Up (To See What's Coming Down)		Caravanserai		1972
Santana	Just in Time to See the Sun		Caravanserai		1972
Spirit	Space Child		Twelve Dreams of Dr. Sardonicus		1970
The Beta Band	Eclipse		Hot Shots II		2001
The Flaming Lips	Vein of Stars		At War with the Mystics		2006
Mercury Rev	Tides of the Moon		All Is Dream		2001
Turin Brakes	Full of Stars		Ether Song		2003
Grandaddy	So You'll Aim Toward the Sky		The Sophtware Slump		2000
Slowdive	When the Sun Hits		Souvlaki		1993
The Verve	Star Sail		A Storm in Heaven		1993
I Am Kloot	From Your Favourite Sky		I Am Kloot		2003
The Polyphonic Spree	It's the Sun		The Beginning Stages of...		2002
Masters of Reality	Third Man On the Moon		Deep in the Hole		2001
Mouse On Mars	Doit		Idiology		2002
Stereolab	Spacemoth		Sound-Dust		2000
Gong	Yoni On Mars		Zero to Infinity		2000
Portishead	Wandering Star		Dummy		1994
Cocteau Twins	Wax and Wane		Garlands		1982
The The	Gravitate to Me		Mind Bomb		1989
Múm	Moon Pulls		Go Go Smear the Poison Ivy		2007
Radiohead	Sail to the Moon (Brush the Cobwebs Out of the Sky)		Hail to the Thief		2003
Tomita	Clair de Lune		Snowflakes Are Dancing		1974
Michael Nyman	An Eye for Optical Theory		The Draughtman's Contract		1982
Orbital	The Box (Part 1)		In Sides		1996
Ozric Tentacles	Aura Borealis		Waterfall Cities		1999
Ash Ra Tempel	Deep Distance		New Age of Earth		1976
Pink Floyd	Obscured By Clouds		Obscured By Clouds		1972
Alan Parsons	Return to Tunguska		A Valid Path		2004
The Cinematic Orchestra	As the Stars Fall		Ma Fleur		2007
Groove Armada	Lazy Moon		Goodbye Country (Hello Nightclub)		2001
Surface of Eceon	Deep Grey Night		The King Beneath the Mountain		2001
Boards of Canada	1969		Geogaddi		2002
Porcupine Tree	Dark Matter		Signify		1997
